id	name
1	rice
2	eels on rice
3	pilaf
4	chicken-'n'-egg on rice
5	pork cutlet on rice
6	beef curry
7	sushi
8	chicken rice
9	fried rice
10	tempura bowl
11	bibimbap
12	toast
13	croissant
14	roll bread
15	raisin bread
16	chip butty
17	hamburger
18	pizza
19	sandwiches
20	udon noodle
21	tempura udon
22	soba noodle
23	ramen noodle
24	beef noodle
25	tensin noodle
26	fried noodle
27	spaghetti
28	Japanese-style pancake
29	takoyaki
30	gratin
31	sauteed vegetables
32	croquette
33	grilled eggplant
34	sauteed spinach
35	vegetable tempura
36	miso soup
37	potage
38	sausage
39	oden
40	omelet
41	ganmodoki
42	jiaozi
43	stew
44	teriyaki grilled fish
45	fried fish
46	grilled salmon
47	salmon meuniere
48	sashimi
49	grilled pacific saury
50	sukiyaki
51	sweet and sour pork
52	lightly roasted fish
53	steamed egg hotchpotch
54	tempura
55	fried chicken
56	sirloin cutlet
57	nanbanzuke
58	boiled fish
59	seasoned beef with potatoes
60	hambarg steak
61	steak
62	dried fish
63	ginger pork saute
64	spicy chili-flavored tofu
65	yakitori
66	cabbage roll
67	omelet
68	egg sunny-side up
69	natto
70	cold tofu
71	egg roll
72	chilled noodle
73	stir-fried beef and peppers
74	simmered pork
75	boiled chicken and vegetables
76	sashimi bowl
77	sushi bowl
78	fish-shaped pancake with bean jam
79	shrimp with chill source
80	roast chicken
81	steamed meat dumpling
82	omelet with fried rice
83	cutlet curry
84	spaghetti meat sauce
85	fried shrimp
86	potato salad
87	green salad
88	macaroni salad
89	Japanese tofu and vegetable chowder
90	pork miso soup
91	chinese soup
92	beef bowl
93	kinpira-style sauteed burdock
94	rice ball
95	pizza toast
96	dipping noodles
97	hot dog
98	french fries
99	mixed rice
100	goya chanpuru
101	green curry
102	okinawa soba
103	mango pudding
104	almond jelly
105	jjigae
106	dak galbi
107	dry curry
108	kamameshi
109	rice vermicelli
110	paella
111	tanmen
112	kushikatu
113	yellow curry
114	pancake
115	champon
116	crape
117	tiramisu
118	waffle
119	rare cheese cake
120	shortcake
121	chop suey
122	twice cooked pork
123	mushroom risotto
124	samul
125	zoni
126	french toast
127	fine white noodles
128	minestrone
129	pot au feu
130	chicken nugget
131	namero
132	french bread
133	rice gruel
134	broiled eel bowl
135	clear soup
136	yudofu
137	mozuku
138	inarizushi
139	pork loin cutlet
140	pork fillet cutlet
141	chicken cutlet
142	ham cutlet
143	minced meat cutlet
144	thinly sliced raw horsemeat
145	bagel
146	scone
147	tortilla
148	tacos
149	nachos
150	meat loaf
151	scrambled egg
152	rice gratin
153	lasagna
154	Caesar salad
155	oatmeal
156	fried pork dumplings served in soup
157	oshiruko
158	muffin
159	popcorn
160	cream puff
161	doughnut
162	apple pie
163	parfait
164	fried pork in scoop
165	lamb kebabs
166	dish consisting of stir-fried potato, eggplant and green pepper
167	roast duck
168	hot pot
169	pork belly
170	xiao long bao
171	moon cake
172	custard tart
173	beef noodle soup
174	pork cutlet
175	minced pork rice
176	fish ball soup
177	oyster omelette
178	glutinous oil rice
179	trunip pudding
180	stinky tofu
181	lemon fig jelly
182	khao soi
183	Sour prawn soup
184	Thai papaya salad
185	boned, sliced Hainan-style chicken with marinated rice
186	hot and sour, fish and vegetable ragout
187	stir-fried mixed vegetables
188	beef in oyster sauce
189	pork satay
190	spicy chicken salad
191	noodles with fish curry
192	Pork Sticky Noodles
193	Pork with lemon
194	stewed pork leg
195	charcoal-boiled pork neck
196	fried mussel pancakes
197	Deep Fried Chicken Wing
198	Barbecued red pork in sauce with rice
199	Rice with roast duck
200	Rice crispy pork
201	Wonton soup
202	Chicken Rice Curry With Coconut
203	Crispy Noodles
204	Egg Noodle In Chicken Yellow Curry
205	coconut milk soup
206	pho
207	Hue beef rice vermicelli soup
208	Vermicelli noodles with snails
209	Fried spring rolls
210	Steamed rice roll
211	Shrimp patties
212	ball shaped bun with pork
213	Coconut milk-flavored crepes with shrimp and beef
214	Small steamed savory rice pancake
215	Glutinous Rice Balls
216	loco moco
217	haupia
218	malasada
219	laulau
220	spam musubi
221	oxtail soup
222	adobo
223	lumpia
224	brownie
225	churro
226	jambalaya
227	nasi goreng
228	ayam goreng
229	ayam bakar
230	bubur ayam
231	gulai
232	laksa
233	mie ayam
234	mie goreng
235	nasi campur
236	nasi padang
237	nasi uduk
238	babi guling
239	kaya toast
240	bak kut teh
241	curry puff
242	chow mein
243	zha jiang mian
244	kung pao chicken
245	crullers
246	eggplant with garlic sauce
247	three cup chicken
248	bean curd family style
249	salt & pepper fried shrimp with shell
250	baked salmon
251	braised pork meat ball with napa cabbage
252	winter melon soup
253	steamed spareribs
254	chinese pumpkin pie
255	eight treasure rice
256	hot & sour soup
